Angle,Intensity,,,,,,,,,,,,,,,,,
16.915529208,4,,,,,,,,,,,,,,,,,
16.919707025,8,,,,,,,,,,,,,,,,,
16.923884842,5,,,,,,,,,,,,,,,,,
16.92806266,5,,,,,,,,,,,,,,,,,
16.932240477,10,,,,,,,,,,,,,,,,,
16.936418294,5,,,,,,,,,,,,,,,,,
16.940596111,4,,,,,,,,,,,,,,,,,
16.944773929,8,,,,,,,,,,,,,,,,,
16.948951746,9,,,,,,,,,,,,,,,,,
16.953129563,8,,,,,,,,,,,,,,,,,
16.95730738,10,,,,,,,,,,,,,,,,,
16.961485198,1,,,,,,,,,,,,,,,,,
16.965663015,7,,,,,,,,,,,,,,,,,
16.969840832,5,,,,,,,,,,,,,,,,,
16.974018649,5,,,,,,,,,,,,,,,,,
16.978196467,7,,,,,,,,,,,,,,,,,
16.982374284,9,,,,,,,,,,,,,,,,,
16.986552101,7,,,,,,,,,,,,,,,,,
16.990729918,8,,,,,,,,,,,,,,,,,
16.994907736,4,,,,,,,,,,,,,,,,,
16.999085553,8,,,,,,,,,,,,,,,,,
17.00326337,9,,,,,,,,,,,,,,,,,
17.007441187,7,,,,,,,,,,,,,,,,,
17.011619005,13,,,,,,,,,,,,,,,,,
17.015796822,7,,,,,,,,,,,,,,,,,
17.019974639,4,,,,,,,,,,,,,,,,,
17.024152456,1,,,,,,,,,,,,,,,,,
17.028330274,7,,,,,,,,,,,,,,,,,
17.032508091,9,,,,,,,,,,,,,,,,,
17.036685908,10,,,,,,,,,,,,,,,,,
17.040863725,4,,,,,,,,,,,,,,,,,
17.045041543,9,,,,,,,,,,,,,,,,,
17.04921936,8,,,,,,,,,,,,,,,,,
17.053397177,7,,,,,,,,,,,,,,,,,
17.057574994,11,,,,,,,,,,,,,,,,,
17.061752812,3,,,,,,,,,,,,,,,,,
17.065930629,5,,,,,,,,,,,,,,,,,
17.070108446,5,,,,,,,,,,,,,,,,,
17.074286263,9,,,,,,,,,,,,,,,,,
17.078464081,9,,,,,,,,,,,,,,,,,
17.082641898,8,,,,,,,,,,,,,,,,,
17.086819715,9,,,,,,,,,,,,,,,,,
17.090997532,18,,,,,,,,,,,,,,,,,
17.09517535,7,,,,,,,,,,,,,,,,,
17.099353167,4,,,,,,,,,,,,,,,,,
17.103530984,13,,,,,,,,,,,,,,,,,
17.107708801,8,,,,,,,,,,,,,,,,,
17.111886618,10,,,,,,,,,,,,,,,,,
17.116064436,7,,,,,,,,,,,,,,,,,
17.120242253,9,,,,,,,,,,,,,,,,,
17.12442007,8,,,,,,,,,,,,,,,,,
17.128597887,7,,,,,,,,,,,,,,,,,
17.132775705,14,,,,,,,,,,,,,,,,,
17.136953522,13,,,,,,,,,,,,,,,,,
17.141131339,9,,,,,,,,,,,,,,,,,
17.145309156,5,,,,,,,,,,,,,,,,,
17.149486974,7,,,,,,,,,,,,,,,,,
17.153664791,4,,,,,,,,,,,,,,,,,
17.157842608,8,,,,,,,,,,,,,,,,,
17.162020425,9,,,,,,,,,,,,,,,,,
17.166198243,4,,,,,,,,,,,,,,,,,
17.17037606,9,,,,,,,,,,,,,,,,,
17.174553877,5,,,,,,,,,,,,,,,,,
17.178731694,5,,,,,,,,,,,,,,,,,
17.182909512,5,,,,,,,,,,,,,,,,,
17.187087329,4,,,,,,,,,,,,,,,,,
17.191265146,5,,,,,,,,,,,,,,,,,
17.195442963,7,,,,,,,,,,,,,,,,,
17.199620781,4,,,,,,,,,,,,,,,,,
17.203798598,5,,,,,,,,,,,,,,,,,
17.207976415,5,,,,,,,,,,,,,,,,,
17.212154232,11,,,,,,,,,,,,,,,,,
17.21633205,5,,,,,,,,,,,,,,,,,
17.220509867,3,,,,,,,,,,,,,,,,,
17.224687684,5,,,,,,,,,,,,,,,,,
17.228865501,7,,,,,,,,,,,,,,,,,
17.233043319,9,,,,,,,,,,,,,,,,,
17.237221136,9,,,,,,,,,,,,,,,,,
17.241398953,3,,,,,,,,,,,,,,,,,
17.24557677,4,,,,,,,,,,,,,,,,,
17.249754588,8,,,,,,,,,,,,,,,,,
17.253932405,10,,,,,,,,,,,,,,,,,
17.258110222,2,,,,,,,,,,,,,,,,,
17.262288039,9,,,,,,,,,,,,,,,,,
17.266465857,8,,,,,,,,,,,,,,,,,
17.270643674,11,,,,,,,,,,,,,,,,,
17.274821491,4,,,,,,,,,,,,,,,,,
17.278999308,10,,,,,,,,,,,,,,,,,
17.283177126,10,,,,,,,,,,,,,,,,,
17.287354943,9,,,,,,,,,,,,,,,,,
17.29153276,7,,,,,,,,,,,,,,,,,
17.295710577,7,,,,,,,,,,,,,,,,,
17.299888395,5,,,,,,,,,,,,,,,,,
17.304066212,9,,,,,,,,,,,,,,,,,
17.308244029,10,,,,,,,,,,,,,,,,,
17.312421846,5,,,,,,,,,,,,,,,,,
