Divergence slit,Fixed,0.19mm,,,,,,,,,,,,,,69.1631,34.58155,0.603561908,1.226481993,1.50425808,16.427,24.71044749,4.970960419
Monochromator used,NO,,,,,,,,,,,,,,,88.0468,44.0234,0.768353278,1.001687748,1.003378345,24.623,24.70618498,4.97053166
Generator voltage,45,,,,,,,,,,,,,,,,,,,,,,
Tube current,40,,,,,,,,,,,,,,,,,,,,,,
File date and time,11/6/2018 9:22,,,,,,,,,,,,,,,,,,,,,,
Unit cell,,,,,,,,,,,,,,,,,,,,,,,
h k l, 0 0 0,,,,,,,,,,,,,,,,,,,,,,
Scan axis,Gonio,,,,,,,,,,,,,,,,,,,,,,
Scan range,10.001,149.9996559,,,,,,,,,,,,,,,,,,,,,
Scan step size,0.0083556,,,,,,,,,,,,,,,,,,,,,,
No. of points,16755,,,,,,,,,,,,,,,,,,,,,,
Scan type,CONTINUOUS,,,,,,,,,,,,,,,,,,,,,,
Phi,0,,,,,,,,,,,,,,,,,,,,,,
Time per step,1.905,,,,,,,,,,,,,,,,,,,,,,
[Scan points],,,,,,,,,,,,,,,,,,,,,,,
Angle,Intensity,,,,,,,,,,,,,,,,,,,,,,
12.66226959,14,,,,,,,,,,,,,,,,,,,,,,
12.67062522,5,,,,,,,,,,,,,,,,,,,,,,
12.67898086,9,,,,,,,,,,,,,,,,,,,,,,
12.68733649,9,,,,,,,,,,,,,,,,,,,,,,
12.69569213,6,,,,,,,,,,,,,,,,,,,,,,
12.70404776,8,,,,,,,,,,,,,,,,,,,,,,
12.71240339,5,,,,,,,,,,,,,,,,,,,,,,
12.72075903,13,,,,,,,,,,,,,,,,,,,,,,
12.72911466,8,,,,,,,,,,,,,,,,,,,,,,
12.7374703,10,,,,,,,,,,,,,,,,,,,,,,
12.74582593,6,,,,,,,,,,,,,,,,,,,,,,
12.75418157,12,,,,,,,,,,,,,,,,,,,,,,
12.7625372,6,,,,,,,,,,,,,,,,,,,,,,
12.77089284,16,,,,,,,,,,,,,,,,,,,,,,
12.77924847,8,,,,,,,,,,,,,,,,,,,,,,
12.78760411,5,,,,,,,,,,,,,,,,,,,,,,
12.79595974,2,,,,,,,,,,,,,,,,,,,,,,
12.80431537,6,,,,,,,,,,,,,,,,,,,,,,
12.81267101,5,,,,,,,,,,,,,,,,,,,,,,
12.82102664,10,,,,,,,,,,,,,,,,,,,,,,
12.82938228,9,,,,,,,,,,,,,,,,,,,,,,
12.83773791,8,,,,,,,,,,,,,,,,,,,,,,
12.84609355,13,,,,,,,,,,,,,,,,,,,,,,
12.85444918,9,,,,,,,,,,,,,,,,,,,,,,
12.86280482,10,,,,,,,,,,,,,,,,,,,,,,
12.87116045,6,,,,,,,,,,,,,,,,,,,,,,
